"iirm_policy_category","distinct_policy_names_grouped_together"
"Motor","608"
"Health & Accident","187"
"Reinsurance","170"
"Other categories","137"
"Fire & Engineering","117"
"Life","115"
"Specialty Lines - Liability","83"
"Other services - LIA","2"
"Bond","2"
