"deal_confirmed","policy_status","ingested_mode","row_count"
"Yes","Active","SQL_LOAD","193774"
"Yes","Generated","APPLICATION","630"
"","Generated","SQL_LOAD","301"
"Yes","Active","APPLICATION","144"
"Yes","Generated","SQL_LOAD","28"
"No","Active","APPLICATION","1"
"Yes","No","SQL_LOAD","1"
"No","Closed at Expiry","APPLICATION","1"
