"id","admin_report_id","parameter_name","label","data_type","created_at","updated_at","deleted_at","created_by","updated_by","deleted_by","query_parameter","input_field_type","option_type","option","order_no"
"293","57","userId","User ID","number","2026-05-13 12:11:21.843585","2026-05-13 12:11:21.843585","","SYSTEM","SYSTEM","","###userId###","input","none","{}","1"
"42","22","externalHrUserId","External HR User ID","number","2026-05-14 04:03:43.174677","2026-05-14 04:03:43.174677","","SYSTEM","SYSTEM","","###externalHrUserId###","input","none","{}","99"
"45","22","policyStatus","Policy Status","string","2026-05-14 18:50:20.742867","2026-05-14 18:50:20.742867","","SYSTEM","SYSTEM","","###policyStatus###","input","none","{}","3"
"294","58","policyIds","Policy ID","number","2026-05-15 16:04:10.776694","2026-05-15 16:27:49.106145","","SYSTEM","SYSTEM","","###policyIds###","input","none","{}","1"
"295","31","claimNo","Claim Number","string","2026-05-15 17:03:23.765923","2026-05-15 17:03:23.765923","","SYSTEM","SYSTEM","","###claimNo###","input","none","{}","8"
"299","31","settlementDateFrom","Settlement Date From","string","2026-05-15 17:03:23.765923","2026-05-15 17:03:23.765923","","SYSTEM","SYSTEM","","###settlementDateFrom###","input","none","{}","12"
"300","31","settlementDateTo","Settlement Date To","string","2026-05-15 17:03:23.765923","2026-05-15 17:03:23.765923","","SYSTEM","SYSTEM","","###settlementDateTo###","input","none","{}","13"
"301","31","amountMin","Amount Min","string","2026-05-15 17:03:23.765923","2026-05-15 17:03:23.765923","","SYSTEM","SYSTEM","","###amountMin###","input","none","{}","14"
"302","31","amountMax","Amount Max","string","2026-05-15 17:03:23.765923","2026-05-15 17:03:23.765923","","SYSTEM","SYSTEM","","###amountMax###","input","none","{}","15"
"303","31","tat","TAT","string","2026-05-15 17:03:23.765923","2026-05-15 17:03:23.765923","","SYSTEM","SYSTEM","","###tat###","input","none","{}","16"
"239","31","claimDateFrom","Claim Date From","string","2026-05-08 12:06:13.348584","2026-05-15 17:18:32.74154","","SYSTEM","SYSTEM","","###claimDateFrom###","input","none","{}","5"
"240","31","claimDateTo","Claim Date To","string","2026-05-08 12:06:13.348584","2026-05-15 17:18:32.74154","","SYSTEM","SYSTEM","","###claimDateTo###","input","none","{}","6"
"296","31","employeeSearch","Employee Name / ID","string","2026-05-15 17:03:23.765923","2026-05-16 15:54:38.899173","2026-05-16 15:54:38.899173","SYSTEM","SYSTEM","","###employeeSearch###","input","none","{}","9"
"297","31","patientName","Patient Name","string","2026-05-15 17:03:23.765923","2026-05-16 15:54:38.899173","2026-05-16 15:54:38.899173","SYSTEM","SYSTEM","","###patientName###","input","none","{}","10"
"298","31","hospital","Hospital","string","2026-05-15 17:03:23.765923","2026-05-16 15:54:38.899173","2026-05-16 15:54:38.899173","SYSTEM","SYSTEM","","###hospital###","input","none","{}","11"
"48","31","search","Search","string","2026-05-18 12:07:27.813655","2026-05-18 12:07:27.813655","","","","","###search###","input","none","{}","17"
"49","52","externalHrUserId","External HR User ID","number","2026-05-18 15:19:28.001434","2026-05-18 15:19:28.001434","","SYSTEM","SYSTEM","","###externalHrUserId###","input","none","{}","99"
"50","25","externalHrUserId","External HR User ID","number","2026-05-18 15:19:28.001434","2026-05-18 15:19:28.001434","","SYSTEM","SYSTEM","","###externalHrUserId###","input","none","{}","99"
"51","47","externalHrUserId","External HR User ID","number","2026-05-18 15:19:28.001434","2026-05-18 15:19:28.001434","","SYSTEM","SYSTEM","","###externalHrUserId###","input","none","{}","99"
